video_id,comment,Cleaned_Text,Final_Text,IsTextNaN,SentimentScore_RoBERTa,Sentiment_RoBERTa,NeutralSource_RoBERTa
i4Kj9SsPRbY,❤❤❤,,,True,0.0,Neutral,NaN Text
i4Kj9SsPRbY,What a explanation,explanation,explanation,False,-0.15031400322914124,Neutral,Real Text
i4Kj9SsPRbY,Nice video!! Keep it up,nice video keep,nice video keep,False,0.9247971177101135,Positive,Real Text
i4Kj9SsPRbY,yes india,yes india,yes india,False,0.18482643365859985,Neutral,Real Text
i4Kj9SsPRbY,Huge concept tha per kam time clear kar diya ...ab yadi isko mind me rakh ke kitna bhi bada article padh lo bo bhi samjh aa jayega❤️,huge concept tha per kam time clear kar diya ab yadi isko mind rakh ke kitna bhi bada article padh lo bo bhi samjh aa jayega,huge concept tha per kam time clear kar diya ab yadi isko mind rakh ke kitna bhi bada article padh lo bo bhi samjh aa jayega,False,-0.0029073357582092285,Neutral,Real Text
i4Kj9SsPRbY,Fantastic guys,fantastic guys,fantastic guys,False,0.7103270888328552,Positive,Real Text
i4Kj9SsPRbY,A.G.I Will be man's last invention,agi mans last invention,agi mans last invention,False,-0.0907849371433258,Neutral,Real Text
i4Kj9SsPRbY,Great India Great People,great india great people,great india great people,False,0.9444314241409302,Positive,Real Text
i4Kj9SsPRbY,SAB SE AAGEY HONGE HINDUSTANI YEH  BAAT HAI SAB NE MAANI.,sab se aagey honge hindustani yeh baat hai sab ne maani,sab se aagey honge hindustani yeh baat hai sab ne maani,False,-0.07649477571249008,Neutral,Real Text
i4Kj9SsPRbY,fantastic and superb... very well done,fantastic superb well done,fantastic superb well done,False,0.9587108492851257,Positive,Real Text
i4Kj9SsPRbY,i really like the presentation and the idea of First develop India.,really like presentation idea first develop india,really like presentation idea first develop india,False,0.9090583324432373,Positive,Real Text
i4Kj9SsPRbY,Simply excellent ... 😃😍,simply excellent,simply excellent,False,0.8103086948394775,Positive,Real Text
i4Kj9SsPRbY,Seriously underrated video!!!!!,seriously underrated video,seriously underrated video,False,-0.1754840761423111,Neutral,Real Text
i4Kj9SsPRbY,Its a great work....and interesting to understand😍...hats of u...all,great workand interesting understandhats uall,great workand interesting understandhats uall,False,0.9677854180335999,Positive,Real Text
i4Kj9SsPRbY,"Great  Work , Easy To Understand",great work easy understand,great work easy understand,False,0.9129269123077393,Positive,Real Text
